id,title,release_at,news_type.name,keyword_dpp,keyword_han,keyword_kmt,keyword_tsai,url
dynyBokkWZ,有望翻轉！韓國瑜如何吸郭粉？他獻策三招,2019-10-01 09:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/dynyBokkWZ
yDa2ypypWK,韓國瑜選情雪崩？藍營本土派支持者竟向「他」喊話,2019-10-01 09:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/yDa2ypypWK
zMW5dGXlnN,不演了？阿扁重病竟怒嗆韓國瑜馬英九！,2019-09-30 22:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/zMW5dGXlnN
kRxAyb19xD,民調持續下滑　韓國瑜沒有回應,2019-09-30 22:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/kRxAyb19xD
gGaMy014aK,韓國瑜粉專竟黑韓 韓競辦驚爆是他們幹的,2019-09-30 20:06:02,生活焦點,0,1,0,0,https://ctinews.com/news/items/gGaMy014aK
14a1jXrExk,沒有韓國瑜！高市議員僅十人登記質詢 名嘴冷回兩字,2019-09-30 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/14a1jXrExk
JpnqvRZOWM,何韻詩遭潑漆  韓國瑜呼籲包容不同意見跟聲音,2019-09-30 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/JpnqvRZOWM
p5W9D11jno,為何力挺韓國瑜？年輕正妹學生終於說心裡話！,2019-09-30 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/p5W9D11jno
v7x3Zee9aj,【旺董 - 蔡衍明 Q＆A 9】 網友希望提醒韓國瑜一些問題,2019-09-30 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/v7x3Zee9aj
89xp3grdae,避免支持者再失分 韓陣營推捍衛形象大作戰,2019-09-30 13:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/89xp3grdae
8knJgApgWo,最新民調出爐 朱立倫也救不了韓國瑜,2019-09-30 12:01:21,政治要聞,0,1,0,0,https://ctinews.com/news/items/8knJgApgWo
q6xV0DzPW7,預料韓國瑜會崩盤？網驚呼「他」算到了！,2019-09-30 12:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/q6xV0DzPW7
m0x7Dq3znv,不演了？沒有韓國瑜 高市議員僅10人登記質詢,2019-09-30 12:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/m0x7Dq3znv
vNWOvzj5nw,背水一戰？韓國瑜要勝選 必做這件事！,2019-09-30 10:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/vNWOvzj5nw
